,year,electricity_generation
0,2010.0,3536.7357001972377
1,2011.0,3472.633136094674
2,2012.0,3482.49506903353
3,2013.0,3452.909270216962
4,2014.0,3355.5226824457586
5,2015.0,3413.4615384615386
6,2016.0,3440.581854043392
7,2017.0,3477.5641025641016
8,2018.0,3500.986193293885
9,2019.0,3492.3570019723857
10,2020.0,3594.674556213017
11,2021.0,3595.907297830374
12,2022.0,3632.8895463510844
13,2023.0,3650.1479289940826
14,2024.0,3678.500986193293
15,2025.0,3688.362919132149
16,2026.0,3732.7416173570014
17,2027.0,3759.861932938856
18,2028.0,3804.240631163708
19,2029.0,3816.5680473372777
20,2030.0,3865.8777120315576
21,2031.0,3891.7652859960544
22,2032.0,3946.0059171597627
23,2033.0,3957.100591715976
24,2034.0,3980.522682445759
25,2035.0,4010.108481262327
26,2036.0,4065.5818540433916
27,2037.0,4095.16765285996
28,2038.0,4125.986193293886
29,2039.0,4160.502958579881
30,2040.0,4206.114398422091
31,2041.0,4234.467455621301
32,2042.0,4266.518737672583
33,2043.0,4313.362919132149
34,2044.0,4361.439842209073
35,2045.0,4376.232741617357
36,2046.0,4416.913214990137
37,2047.0,4469.921104536488
38,2048.0,4534.0236686390535
39,2049.0,4563.609467455621
40,2050.0,4599.358974358974
